year,quarter,district_code,district_name,neighborhood_code,neighborhood_name,euros_month,euros_m2_month,num_agreements
2017,4,9,Sant Andreu,59,el Bon Pastor,576.97,8.79,36
2017,4,9,Sant Andreu,60,Sant Andreu,751.95,12.44,310
2017,4,9,Sant Andreu,61,la Sagrera,732.23,11.69,180
2017,4,9,Sant Andreu,62,el Congrés i els Indians,742.89,11.15,86
2017,4,9,Sant Andreu,63,Navas,805.1,11.69,153
2017,4,10,Sant Martí,64,el Camp de l'Arpa del Clot,789.59,13.26,343
2017,4,10,Sant Martí,65,el Clot,777.21,12.47,202
2017,4,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,916.33,13.38,93
2017,4,10,Sant Martí,67,la Vila Olímpica del Poblenou,1349.82,17.65,71
2017,4,10,Sant Martí,68,el Poblenou,911.12,14.21,286
2017,4,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1233.01,16.51,82
2017,4,10,Sant Martí,70,el Besòs i el Maresme,621.32,10.4,112
2017,4,10,Sant Martí,71,Provençals del Poblenou,864.09,12.66,119
2017,4,10,Sant Martí,72,Sant Martí de Provençals,790.58,10.83,118
2017,4,10,Sant Martí,73,la Verneda i la Pau,692.67,10.38,93
2018,1,1,Ciutat Vella,1,el Raval,792.74,13.74,504
2018,1,1,Ciutat Vella,2,el Barri Gòtic,998.4,13.3,215
2018,1,1,Ciutat Vella,3,la Barceloneta,870.84,17.1,115
2018,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",923.44,14.68,335
2018,1,2,Eixample,5,el Fort Pienc,910.53,12.63,312
2018,1,2,Eixample,6,la Sagrada Família,883.75,13.45,533
2018,1,2,Eixample,7,la Dreta de l'Eixample,1191.43,13.21,544
2018,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1069.16,13.49,544
2018,1,2,Eixample,9,la Nova Esquerra de l'Eixample,947.92,13.51,540
2018,1,2,Eixample,10,Sant Antoni,899.98,12.72,385
2018,1,3,Sants-Montjuïc,11,el Poble Sec,783.5,13.83,358
2018,1,3,Sants-Montjuïc,13,la Marina de Port,751.65,10.4,112
2018,1,3,Sants-Montjuïc,14,la Font de la Guatlla,842.32,12.42,97
2018,1,3,Sants-Montjuïc,15,Hostafrancs,754.83,13.23,147
2018,1,3,Sants-Montjuïc,16,la Bordeta,785.79,12.4,109
2018,1,3,Sants-Montjuïc,17,Sants - Badal,764.41,12.52,191
2018,1,3,Sants-Montjuïc,18,Sants,802.64,12.94,403
2018,1,4,Les Corts,19,les Corts,1002.34,14.61,327
2018,1,4,Les Corts,20,la Maternitat i Sant Ramon,948.77,13.82,137
2018,1,4,Les Corts,21,Pedralbes,1799.91,14.92,72
2018,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",895.7,11.21,23
2018,1,5,Sarrià-Sant Gervasi,23,Sarrià,1249.23,16.04,175
2018,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,1613.41,16.61,103
2018,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1247.7,16.24,224
2018,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1310.42,14.43,401
2018,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,946.65,14.1,281
2018,1,6,Gràcia,28,Vallcarca i els Penitents,886.27,13.25,126
2018,1,6,Gràcia,29,el Coll,741.23,12.28,60
2018,1,6,Gràcia,30,la Salut,815.62,12.05,91
2018,1,6,Gràcia,31,la Vila de Gràcia,899.65,14.38,677
2018,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,884.55,13.37,335
2018,1,7,Horta-Guinardó,33,el Baix Guinardó,832.63,12.63,223
2018,1,7,Horta-Guinardó,34,Can Baró,721.46,11.7,55
2018,1,7,Horta-Guinardó,35,el Guinardó,736.8,11.68,283
2018,1,7,Horta-Guinardó,36,la Font d'en Fargues,824.12,11.47,34
2018,1,7,Horta-Guinardó,37,el Carmel,634.75,11.22,208
2018,1,7,Horta-Guinardó,38,la Teixonera,690.81,11.53,52
2018,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,648.1,9.79,42
2018,1,7,Horta-Guinardó,40,Montbau,717.78,10.46,40
2018,1,7,Horta-Guinardó,41,la Vall d'Hebron,874.2,12.08,25
2018,1,7,Horta-Guinardó,43,Horta,748.19,11.6,157
2018,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,720.9,11.29,123
2018,1,8,Nou Barris,45,Porta,675.08,11.11,161
2018,1,8,Nou Barris,46,el Turó de la Peira,665.36,11.44,92
2018,1,8,Nou Barris,47,Can Peguera,278.37399999999997,7.6659999999999995,1
2018,1,8,Nou Barris,48,la Guineueta,685.05,9.56,63
2018,1,8,Nou Barris,49,Canyelles,714.68,9.02,7
2018,1,8,Nou Barris,50,les Roquetes,605.41,11.22,76
2018,1,8,Nou Barris,51,Verdun,624.71,11.37,74
2018,1,8,Nou Barris,52,la Prosperitat,634.3,11.39,120
2018,1,8,Nou Barris,53,la Trinitat Nova,592.73,11.65,22
2018,1,8,Nou Barris,54,Torre Baró,401.71285714285716,7.377692307692308,4
2018,1,8,Nou Barris,55,Ciutat Meridiana,507.16,8.98,38
2018,1,8,Nou Barris,56,Vallbona,390.17333333333335,5.816666666666666,3
2018,1,9,Sant Andreu,57,la Trinitat Vella,589.02,10.28,46
2018,1,9,Sant Andreu,59,el Bon Pastor,658.63,10.45,51
2018,1,9,Sant Andreu,60,Sant Andreu,744.82,11.7,290
2018,1,9,Sant Andreu,61,la Sagrera,734.45,11.28,149
2018,1,9,Sant Andreu,62,el Congrés i els Indians,754.09,11.68,89
2018,1,9,Sant Andreu,63,Navas,790.2,12.12,142
2018,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,785.88,12.5,320
2018,1,10,Sant Martí,65,el Clot,774.32,12.2,198
2018,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,916.31,13.26,100
2018,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,1272.26,17.28,58
2018,1,10,Sant Martí,68,el Poblenou,913.29,14.13,272
2018,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1164.84,15.73,91
2018,1,10,Sant Martí,70,el Besòs i el Maresme,682.32,10.53,112
2018,1,10,Sant Martí,71,Provençals del Poblenou,957.02,13.2,132
2018,1,10,Sant Martí,72,Sant Martí de Provençals,751.48,10.71,130
2018,1,10,Sant Martí,73,la Verneda i la Pau,715.37,10.39,83
2018,2,1,Ciutat Vella,1,el Raval,820.88,14.14,480
2018,2,1,Ciutat Vella,2,el Barri Gòtic,1024.29,14.15,259
2018,2,1,Ciutat Vella,3,la Barceloneta,923.45,16.31,114
2018,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",991.39,15.09,345
2018,2,2,Eixample,5,el Fort Pienc,942.96,12.92,293
2018,2,2,Eixample,6,la Sagrada Família,893.43,13.4,505
2018,2,2,Eixample,7,la Dreta de l'Eixample,1263.08,13.71,546
2018,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1078.13,14.01,520
2018,2,2,Eixample,9,la Nova Esquerra de l'Eixample,975.53,13.83,609
2018,2,2,Eixample,10,Sant Antoni,907.42,13.1,377
2018,2,3,Sants-Montjuïc,11,el Poble Sec,788.23,13.41,380
2018,2,3,Sants-Montjuïc,13,la Marina de Port,719.33,10.23,119
2018,2,3,Sants-Montjuïc,14,la Font de la Guatlla,834.68,12.59,95
2018,2,3,Sants-Montjuïc,15,Hostafrancs,801.37,13.42,186
2018,2,3,Sants-Montjuïc,16,la Bordeta,757.26,11.4,103
2018,2,3,Sants-Montjuïc,17,Sants - Badal,755.29,12.86,195
2018,2,3,Sants-Montjuïc,18,Sants,811.74,12.82,396
2018,2,4,Les Corts,19,les Corts,1038.73,14.65,347
2018,2,4,Les Corts,20,la Maternitat i Sant Ramon,959.26,13.35,159
2018,2,4,Les Corts,21,Pedralbes,1563.31,17.66,32
2018,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",860.13,11.57,28
2018,2,5,Sarrià-Sant Gervasi,23,Sarrià,1332.33,17.02,204
2018,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,1467.07,16.42,109
2018,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1288.82,15.83,234
2018,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1328.14,14.65,475
2018,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,972.89,14.38,315
2018,2,6,Gràcia,28,Vallcarca i els Penitents,939.03,13.04,132
2018,2,6,Gràcia,29,el Coll,716.25,11.78,57
2018,2,6,Gràcia,30,la Salut,883.52,12.71,111
2018,2,6,Gràcia,31,la Vila de Gràcia,913.34,14.51,664
2018,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,885.4,13.87,373
2018,2,7,Horta-Guinardó,33,el Baix Guinardó,817.38,12.65,224
2018,2,7,Horta-Guinardó,34,Can Baró,737.38,11.92,81
2018,2,7,Horta-Guinardó,35,el Guinardó,758.61,11.89,272
2018,2,7,Horta-Guinardó,36,la Font d'en Fargues,756.72,11.44,32
2018,2,7,Horta-Guinardó,37,el Carmel,637.17,11.08,204
2018,2,7,Horta-Guinardó,38,la Teixonera,682.44,11.94,74
2018,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,646.83,9.85,60
2018,2,7,Horta-Guinardó,40,Montbau,716.18,10.44,34
2018,2,7,Horta-Guinardó,41,la Vall d'Hebron,864.72,12.28,18
2018,2,7,Horta-Guinardó,43,Horta,742.51,11.55,180
2018,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,726.89,11.12,174
2018,2,8,Nou Barris,45,Porta,713.94,11.49,197
2018,2,8,Nou Barris,46,el Turó de la Peira,668.16,11.01,107
2018,2,8,Nou Barris,47,Can Peguera,278.37399999999997,7.6659999999999995,1
2018,2,8,Nou Barris,48,la Guineueta,724.25,9.94,103
2018,2,8,Nou Barris,49,Canyelles,661.88,9.67,8
2018,2,8,Nou Barris,50,les Roquetes,575.71,10.98,70
2018,2,8,Nou Barris,51,Verdun,628.8,11.57,70
2018,2,8,Nou Barris,52,la Prosperitat,657.43,11.39,166
2018,2,8,Nou Barris,53,la Trinitat Nova,574.15,12.11,36
2018,2,8,Nou Barris,54,Torre Baró,434.52,7.22,7
2018,2,8,Nou Barris,55,Ciutat Meridiana,491.84,8.39,38
2018,2,8,Nou Barris,56,Vallbona,390.17333333333335,5.816666666666666,0
2018,2,9,Sant Andreu,57,la Trinitat Vella,598.29,10.24,51
2018,2,9,Sant Andreu,59,el Bon Pastor,687.55,11.42,52
2018,2,9,Sant Andreu,60,Sant Andreu,752.66,11.64,323
2018,2,9,Sant Andreu,61,la Sagrera,798.39,12.08,181
2018,2,9,Sant Andreu,62,el Congrés i els Indians,751.16,11.49,95
2018,2,9,Sant Andreu,63,Navas,797.8,11.88,143
2018,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,806.97,13.06,371
2018,2,10,Sant Martí,65,el Clot,815.82,12.72,189
